Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Адрес ВСП/ПВЗ|Режим работы ВСП/ПВЗ
8618/0221|2021-06-21 15:42:18|Республика Удмуртская,город Воткинск,улица Привокзальная, дом 1|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8618/0223|2021-02-24 17:08:36|Удмуртская Республика, п Новый,улица Центральная, дом 5|ПН-ПТ 09:00-17:15, СБ-ВС выходной
8618/0224|2021-08-17 12:37:16|Республика Удмуртская,город Воткинск,улица Луначарского, дом 20А|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8618/0225|2021-06-07 13:59:11|Республика Удмуртская, с Шаркан,улица Советская, дом 30|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8618/0227|2021-05-12 12:42:05|Республика Удмуртская,город Воткинск,улица Орджоникидзе, дом 8|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8618/0229|2021-06-21 15:42:18|Республика Удмуртская,город Глазов,улица Калинина, дом 4|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8618/0237|2021-06-07 13:59:11|Республика Удмуртская, с Юкаменское,улица Победы, дом 1Б|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8618/0240|2021-06-21 15:42:18|Республика Удмуртская, Ярский район , п Яр,улица Колхозная, зд 1|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8618/0245|2021-06-07 13:59:11|Республика Удмуртская,город Глазов,улица Барышникова, дом 1|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8618/0246|2021-06-07 13:59:11|Республика Удмуртская,город Глазов,улица Мира, дом 24|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8618/0248|2020-11-03 09:55:59|Республика Удмуртская,город Глазов,улица Кирова, дом 7|ПН-ПТ 08:30-18:30, СБ 09:00-13:00, ВС выходной
8618/0249|2021-06-07 13:59:11|Республика Удмуртская,город Глазов,улица Сибирская, дом 21|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8618/0250|2021-02-24 17:08:37|Республика Удмуртская, Балезинский район , п Балезино,улица Энгельса, дом 5|ПН-ПТ 08:00-16:30, СБ-ВС выходной
8618/0256|2021-02-24 17:08:37|Республика Удмуртская, Кезский район , п Кез,улица Советская, дом 9|ПН-ПТ 08:30-16:30, СБ 08:30-11:30, ВС выходной
8618/0260|2021-06-07 13:59:11|Республика Удмуртская, Балезинский район , п Балезино,улица Карла Маркса, зд 7|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8618/0261|2021-05-12 12:42:05|Республика Удмуртская, с Красногорское,улица Ленина, зд 64|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8618/0263|2021-02-24 17:08:48|Республика Удмуртская,город Можга,улица Наговицына, дом 64|ПН-ПТ 08:30-18:00, СБ 08:30-13:30, ВС выходной
8618/0264|2021-02-24 17:08:48|Республика Удмуртская,город Можга,улица Труда, дом 28|ПН-ПТ 09:00-18:00, СБ-ВС выходной
