Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Адрес ВСП/ПВЗ|Режим работы ВСП/ПВЗ
8622/04|2020-09-28 19:18:00|г Саратов,улицаимени Чернышевского Н.Г., дом 19|ПН-ВС 09:00-21:00
8622/0401|2021-02-24 17:08:55|Саратовская область,город Вольск,улица Октябрьская, дом 112|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8622/0402|2021-03-30 18:30:21|Саратовская область,город Хвалынск,улица Советская, дом 128|ПН-ПТ 08:30-17:00, СБ 08:30-12:00, ВС выходной
8622/0418|2021-06-21 15:42:07|Саратовская область,город Калининск,улица Советская, дом 2|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8622/0438|2021-05-12 12:41:44|Саратовская область,рабочий поселок Лысые Горы,улица Советская, дом 49|ПН-ПТ 08:00-16:45, СБ-ВС выходной
8622/0447|2021-02-24 17:08:58|Саратовская область,город Балаково,улица Трнавская, дом 14|ПН-ПТ 09:00-18:30, СБ 09:00-12:30, ВС выходной
8622/0456|2021-05-12 12:41:44|Саратовская область,город Балаково,улица Ленина, дом 47|ПН-ПТ 09:00-18:30, СБ 09:00-13:00, ВС выходной
8622/0460|2021-06-21 15:42:07|Саратовская область,город Балаково,улица Ленина, дом 114|ПН-ПТ 09:00-18:00, СБ 09:00-12:30, ВС выходной
8622/0464|2021-12-13 14:19:16|Саратовская область,город Балаково,улица Минская, дом 23|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8622/0465|2021-12-13 14:19:16|Саратовская область,город Балаково,улица Комарова, дом 107|ПН-ПТ 08:30-18:00, СБ 08:30-13:00, ВС выходной
8622/0470|2021-02-24 17:08:58|Саратовская область,город Балаково,улица Трнавская, дом 46|ПН-ПТ 08:30-18:30, СБ 09:00-13:00, ВС выходной
8622/0482|2021-05-12 12:41:44|Саратовская область,рабочий поселок Базарный Карабулак,улица Ленина, дом 102В|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8622/0505|2021-12-13 14:19:15|Саратовская область, с Балтай,улица В.И.Ленина, дом 70|ПН-ПТ 08:00-16:00, СБ-ВС выходной
8622/0513|2021-06-21 15:42:07|Саратовская область,рабочий поселок Новые Бурасы,улица Баумана, дом 41|ПН-ПТ 08:00-16:00, СБ-ВС выходной
8622/0518|2021-12-13 14:19:15|Саратовская область,город Ершов,улица Интернациональная, зд 21|ПН-ПТ 08:00-17:00, СБ 08:00-12:00, ВС выходной
8622/0532|2021-12-13 14:19:15|Саратовская область,рабочий поселок Мокроус,улица Победы, дом 16|ПН-ПТ 08:15-16:35, СБ-ВС выходной
8622/0542|2021-12-13 14:19:15|Саратовская область,рабочий поселок Дергачи,улица Советская, дом 53|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8622/0553|2021-08-17 12:37:09|Саратовская область,рабочий поселок Озинки,улица Пушкинская, дом 46|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8622/0563|2021-02-24 17:08:45|Саратовская область,город Пугачев,улица Бубенца, дом 21/5|ПН-ПТ 08:00-17:00, СБ 08:00-12:30, ВС выходной
8622/0586|2021-05-12 12:41:44|Саратовская область, с Ивантеевка,улица Советская, зд 8|ПН-ПТ 08:15-16:30, СБ-ВС выходной
8622/0596|2021-12-13 14:19:15|Саратовская область,рабочий поселок Горный,улица Краснопартизанская, дом 9Б|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8622/0607|2021-05-12 12:41:44|Саратовская область, с Перелюб,улица Чкаловская, дом 22|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8622/0621|2021-05-12 12:41:44|Саратовская область,город Балашов,улица Володарского, дом 39|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8622/0622|2021-05-12 12:41:44|Саратовская область,город Балашов,улица Привокзальная, дом 1|ПН выходной, ВТ-СБ 08:00-17:00, ВС выходной
8622/0636|2021-02-24 17:08:58|Саратовская область,город Балашов,улица Строителей, дом 9|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8622/0637|2021-12-13 14:19:15|Саратовская область,город Балашов,улица Гагарина, дом 59|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8622/0639|2021-12-13 14:19:15|Саратовская область,рабочий поселок Романовка,улица Народная, дом 16|ПН-ПТ 08:00-16:45, СБ-ВС выходной
8622/0646|2021-05-12 12:41:44|Саратовская область,рабочий поселок Самойловка,улица 30 лет Победы, дом 2|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8622/0654|2021-05-12 12:41:44|Саратовская область,город Ртищево,улица Советская, дом 3А|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8622/0673|2021-06-21 15:42:07|Саратовская область,рабочий поселок Екатериновка,улица Кооперативная, дом 32|ПН-ПТ 08:00-16:45, СБ-ВС выходной
8622/0686|2021-03-30 18:30:23|Саратовская область,город Аркадак,улица Ленина, дом 75|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8622/0697|2021-05-12 12:41:44|Саратовская область,рабочий поселок Турки,улица Советская, дом 37|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8622/07|2021-08-17 12:37:09|г Саратов,улица Большая Садовая, дом 94/16|ПН-ПТ 08:30-17:30, СБ 09:00-14:00, ВС выходной
8622/0704|2021-03-30 18:30:22|Саратовская область,город Аткарск,улица Советская, дом 115|ПН-ПТ 08:00-16:15, СБ 08:30-12:45, ВС выходной
8622/0713|2021-06-21 15:42:07|Саратовская область,рабочий поселок Татищево,улица Красноармейская, дом 32|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8622/0721|2021-12-13 14:19:15|Саратовская область,город Петровск,улица Льва Толстого, дом 45|ПН-ПТ 08:00-16:30, СБ 08:30-12:00, ВС выходной
8622/0728|2021-06-21 15:42:07|Саратовская область,город Красный Кут, проспект Победы, зд 23А|ПН-ПТ 08:15-17:15, СБ 08:00-12:00, ВС выходной
8622/0748|2021-05-12 12:41:44|Саратовская область,рабочий поселок Степное,улица 50 лет Победы, строение 9|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8622/0756|2021-05-12 12:41:44|Саратовская область,город Новоузенск,улица Советская, дом 8|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8622/0769|2021-05-12 12:41:44|Саратовская область, с Александров Гай,улица Советская, дом 13|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8622/0771|2021-12-13 14:19:15|г Саратов, проспект имени 50 лет Октября, дом 75А|ПН-ПТ 08:30-18:00, СБ 08:30-13:00, ВС выходной
8622/0773|2021-08-17 12:37:09|г Саратов,улицаимени Мысникова Ю.А., дом 3А|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8622/0778|2021-05-12 12:41:44|г Саратов,улицаимени Чернышевского Н.Г., дом 190/198|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8622/08|2021-05-12 12:41:44|г Саратов,улица Шелковичная, дом 168|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8622/085|2020-09-28 19:18:00|г Саратов,улица Буровая, дом 11|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8623/0100|2021-06-21 15:42:07|Оренбургская область,город Бугуруслан,улица Промысловая, дом 37|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8623/0102|2021-06-07 13:59:07|Оренбургская область,город Бугуруслан, ш Баймаковское, дом 22А|ПН-ПТ 08:30-16:30, СБ 08:30-14:30, ВС выходной
8623/0108|2021-08-17 12:37:09|Оренбургская область, с Северное,улица Чапаева, дом 41|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8623/0122|2021-08-17 12:37:09|Оренбургская область, с Асекеево,улица Чапаева, дом 24|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8623/0136|2021-02-24 17:09:00|Оренбургская область,город Абдулино,улица Коммунистическая, дом 286|ПН-ПТ 08:30-16:45, СБ 09:00-13:45, ВС выходной
8623/0146|2021-08-17 12:37:09|Оренбургская область, с Матвеевка,улица Телеграфная, дом 87|ПН-ПТ 09:00-17:15, СБ-ВС выходной
8623/0156|2021-08-17 12:37:09|Оренбургская область, п Адамовка,улица Ленина, дом 18|ПН-ПТ 09:00-17:15, СБ-ВС выходной
8623/0166|2021-08-17 12:37:09|Оренбургская область, с Октябрьское,улица Луначарского, дом 42А|ПН-ПТ 08:30-17:00, СБ-ВС выходной
8623/0178|2021-08-17 12:37:09|Оренбургская область, с Сакмара,улица Фельдшерская, дом 24|ПН-ПТ 09:00-17:15, СБ-ВС выходной
8623/0187|2021-08-17 12:37:08|Оренбургская область, п Тюльган,улица Октябрьская, дом 17|ПН-ПТ 09:00-17:00, СБ-ВС выходной
8623/0197|2021-05-12 12:41:43|Оренбургская область, с Шарлык,улица Калининская, дом 1|ПН-ПТ 09:00-17:15, СБ-ВС выходной
8623/02|2021-08-17 12:37:08|Оренбургская область, с Илек,улица Комарова, дом 17|ПН-ПТ 09:00-17:00, СБ-ВС выходной
8623/0208|2021-08-17 12:37:08|Оренбургская область, с Пономаревка,улица Советская, дом 26|ПН-ПТ 09:00-17:00, СБ-ВС выходной
8623/0217|2021-08-17 12:37:08|Оренбургская область, с Кваркено,улица Центральная, дом 23А|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8623/0231|2021-06-21 15:42:06|Оренбургская область, п Саракташ,улица Мира, дом 94/10|ПН-ПТ 08:45-17:00, СБ-ВС выходной
8623/0246|2021-08-17 12:37:08|Оренбургская область, с Беляевка,улица Банковская, дом 11А|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8623/0259|2021-02-24 17:08:43|Оренбургская область,город Соль-Илецк,улица Советская, дом 43/2|ПН-ПТ 09:00-17:30, СБ 09:00-13:30, ВС выходной
8623/0278|2021-05-12 12:41:43|Оренбургская область, п Акбулак,улица Советская, дом 43А|ПН-ПТ 09:00-17:15, СБ-ВС выходной
8623/0288|2021-02-24 17:08:43|Оренбургская область,город Сорочинск,улица Карла Маркса, дом 34|ПН-ПТ 08:30-17:00, СБ 09:00-14:30, ВС выходной
8623/03|2021-08-17 12:37:08|Оренбургская область, п Переволоцкий,улица Ленинская, дом 115А|ПН-ПТ 09:00-17:15, СБ-ВС выходной
8623/0302|2021-03-03 11:41:51|Оренбургская область,город Сорочинск, проспект Парковый, дом 13|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8623/0304|2021-08-17 12:37:08|Оренбургская область, с Ташла,улица Довженко, зд 25А|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8623/0316|2021-02-24 17:08:33|Оренбургская область, с Тоцкое,улица Красная Площадь, дом 8|ПН-ПТ 09:00-17:15, СБ-ВС выходной
8623/0329|2021-02-24 17:08:56|Оренбургская область,город Бузулук,улица Комсомольская, дом 100|ПН-ПТ 08:00-18:30, СБ 09:00-15:00, ВС 09:00-13:00
8623/0339|2021-05-12 12:41:43|Оренбургская область,город Бузулук,улица Гая, дом 62|ПН-ПТ 08:30-17:45, СБ 09:00-13:00, ВС выходной
8623/0355|2021-05-12 12:41:43|Оренбургская область,город Бузулук,улица М.Горького, дом 48|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8623/0356|2021-02-24 17:08:56|Оренбургская область,город Бузулук, мкр 2-й, дом 34|ПН-ПТ 08:30-17:00, СБ 09:00-14:00, ВС выходной
8623/0359|2021-05-12 12:41:43|Оренбургская область, с Грачевка,улица Советская, дом 2|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8623/0367|2021-08-17 12:37:08|Оренбургская область, с Плешаново, проспект Гагарина, дом 29А|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8623/0381|2021-08-17 12:37:08|Оренбургская область, с Курманаевка,улица Крестьянская, зд 8|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8623/0393|2021-05-12 12:41:43|Оренбургская область, п Первомайский,улица Мирная, дом 29А|ПН-ПТ 09:00-17:15, СБ-ВС выходной
8623/0410|2021-02-24 17:08:37|Оренбургская область, п Домбаровский,улица Горького, дом 2А|ПН-ПТ 09:00-17:30, СБ-ВС выходной
8623/0417|2021-10-27 09:13:28|Оренбургская область,город Ясный,улица Ленина, дом 1|ПН-ПТ 09:00-18:30, СБ 10:00-14:00, ВС выходной
8623/0419|2021-08-17 12:37:08|Оренбургская область, п Светлый,улица Торговая, дом 4|ПН-ПТ 09:00-17:00, СБ-ВС выходной
8623/0428|2021-02-24 17:08:50|Оренбургская область,город Кувандык,улица Оренбургская, дом 23|ПН-ПТ 08:30-17:00, СБ 09:00-14:00, ВС выходной
8623/0443|2021-03-03 11:41:54|Оренбургская область,город Медногорск,улица Советская, дом 30|ПН-ПТ 09:00-17:30, СБ 09:00-14:00, ВС выходной
8623/0449|2021-02-24 17:08:36|Оренбургская область, п Новосергиевка,улица Краснопартизанская, дом 16|ПН-ПТ 09:00-17:15, СБ-ВС выходной
8623/0467|2021-08-17 12:37:08|Оренбургская область, с Александровка,улица Рощепкина, дом 21|ПН-ПТ 09:00-17:00, СБ-ВС выходной
8623/0477|2021-03-03 11:41:52|Оренбургская область,город Орск, проспект Ленина, дом 25А|ПН-ПТ 08:30-19:00, СБ 09:00-17:00, ВС 09:00-14:00
8623/0478|2022-11-14 14:41:10|Оренбургская область,город Орск,улица Советская, дом 63|ПН выходной, ВТ-ПТ 08:45-18:15, СБ 09:30-15:30, ВС выходной
8623/0485|2021-02-24 17:08:46|Оренбургская область,город Орск,улица Краматорская, дом 19|ПН-ПТ 09:00-18:30, СБ 09:00-15:00, ВС выходной
8623/0486|2021-02-24 17:08:46|Оренбургская область,город Орск, проспект Ленина, дом 94|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8623/0487|2021-06-07 13:59:06|Оренбургская область,город Орск, проспект Орский, дом 7|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8623/0488|2021-02-24 17:08:46|Оренбургская область,город Орск, проспект Ленина, дом 71|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8623/0493|2021-05-12 12:41:43|Оренбургская область,город Орск,улица Добровольского, дом 25|ПН-ПТ 09:00-18:00, СБ 09:00-14:30, ВС выходной
8623/0495|2021-06-21 15:42:06|Оренбургская область,город Орск,улица Станционная, дом 11|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8623/0497|2021-02-24 17:08:46|Оренбургская область,город Орск, проспект Ленина, дом 47|ПН-ПТ 09:00-18:00, СБ 09:00-15:30, ВС выходной
8623/0499|2021-06-07 13:59:06|Оренбургская область,город Новотроицк,улица Советская, дом 118А|ПН-ПТ 09:00-18:30, СБ 09:00-15:00, ВС выходной
8623/0500|2021-02-24 17:08:46|Оренбургская область,город Новотроицк,улица Советская, дом 82|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8623/0503|2021-05-12 12:41:43|Оренбургская область,город Новотроицк,улица Мира, дом 9|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8623/0506|2021-02-24 17:08:47|Оренбургская область,город Новотроицк,улица Советская, дом 62|ПН-ПТ 09:00-18:00, СБ 09:30-15:00, ВС выходной
8623/0507|2021-06-21 15:42:06|Оренбургская область,город Гай,улица Декабристов, зд 6/1|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8623/0514|2021-12-13 14:19:15|Оренбургская область,город Гай,улица Ленина, дом 23|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8623/0518|2021-02-24 17:08:36|Оренбургская область, п Новоорск,улица Ленина, дом 7Д|ПН-ПТ 09:00-17:15, СБ-ВС выходной
8623/0526|2021-02-01 14:11:43|г Оренбург,улица Володарского, дом 16|ПН-ПТ 09:00-19:00, СБ 09:00-14:30, ВС 10:00-13:30
8623/0528|2021-05-12 12:41:43|г Оренбург, проспект Дзержинского, дом 26|ПН-ПТ 10:00-19:00, СБ-ВС выходной
8623/054|2020-09-28 19:18:00|г Оренбург, ш Шарлыкское, дом 1|ПН-ПТ 08:30-17:30, СБ 09:00-14:00, ВС выходной
8623/055|2020-12-24 14:56:44|г Оренбург,улица Алтайская, дом 2/1|ПН-ПТ 10:00-19:00, СБ 10:00-14:00, ВС выходной
8623/056|2021-05-12 12:41:42|г Оренбург, проспект Победы, дом 18|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8623/057|2021-05-12 12:41:41|г Оренбург,улица Джангильдина, дом 15|ПН-ПТ 09:00-18:00, СБ 10:00-15:30, ВС выходной
8623/058|2021-02-01 14:11:43|г Оренбург, проспект Братьев Коростелевых, дом 7|ПН-ПТ 09:00-18:00, СБ 09:00-14:30, ВС выходной
8623/059|2020-09-28 19:18:00|г Оренбург,улица Туркестанская, дом 7|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8623/060|2021-06-21 15:42:06|г Оренбург, проспект Победы, дом 126|ПН-ПТ 09:00-18:30, СБ 09:00-14:30, ВС выходной
8623/066|2021-10-27 09:25:48|г Оренбург,улица Новая, дом 4|ПН-ПТ 09:00-19:00, СБ 09:00-15:00, ВС выходной
8623/069|2021-05-12 12:41:41|г Оренбург,улица Беляевская, дом 29|ПН-ПТ 09:00-18:00, СБ 09:00-14:30, ВС выходной
8623/070|2021-02-01 14:11:43|г Оренбург, проспект Дзержинского, дом 27/2|ПН-ПТ 09:30-18:30, СБ 10:00-14:00, ВС выходной
8623/071|2021-05-12 12:41:41|г Оренбург,улица Брестская, дом 5|ПН-ПТ 09:00-17:30, СБ 09:00-15:00, ВС выходной
8623/072|2021-12-13 14:19:15|г Оренбург, проспект Гагарина, дом 48/1|ПН-ПТ 09:00-19:00, СБ 10:00-15:00, ВС выходной
8623/073|2021-02-01 14:11:43|г Оренбург,улица Чкалова, дом 32|ПН-ПТ 09:30-18:30, СБ 10:00-14:00, ВС выходной
8623/076|2020-09-28 19:18:00|г Оренбург,улица Терешковой, дом 247|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8623/077|2021-02-01 14:11:43|г Оренбург,улица Салмышская, дом 46 строение 1|ПН-ПТ 09:00-19:00, СБ 10:00-15:00, ВС выходной
8623/078|2021-02-01 14:11:43|г Оренбург, проспект Победы, дом 150|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8623/080|2021-05-12 12:41:41|г Оренбург,улица Восточная, дом 31|ПН-ПТ 09:00-17:30, СБ 09:00-14:30, ВС выходной
8623/084|2021-02-01 14:11:43|г Оренбург, проспект Дзержинского, дом 5|ПН-ПТ 09:00-18:30, СБ 09:00-14:00, ВС выходной
8623/085|2021-02-01 14:11:43|г Оренбург, проспект Парковый, дом 13|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8623/087|2021-02-24 17:08:56|Оренбургская область,город Бугуруслан,улица Революционная, дом 13|ПН-ПТ 08:00-18:00, СБ 08:30-15:30, ВС 09:00-14:00
8624/01|2021-02-01 14:11:43|г Пенза,улица Кураева, дом 1А|ПН-ПТ 09:00-18:00, СБ 09:00-15:30, ВС выходной
8624/010|2020-09-28 19:18:00|г Пенза,улица Красная Горка, дом 36А|ПН-ПТ 09:00-18:00, СБ 09:00-14:30, ВС выходной
8624/011|2021-05-12 12:41:41|г Пенза,улица Мира, дом 6|ПН-ПТ 09:00-18:30, СБ 09:00-14:00, ВС выходной
8624/0128|2022-11-14 14:41:10|Пензенская область,город Сердобск,улица Быкова, дом 7|ПН-ПТ 09:00-17:30, СБ-ВС выходной
8624/0130|2021-02-24 17:08:43|Пензенская область,город Сердобск,улица Красная, дом 35/81|ПН-ПТ 08:00-16:30, СБ 08:00-13:00, ВС выходной
8624/0131|2021-05-12 12:41:41|Пензенская область,рабочий поселок Колышлей,улица Советская, строение 22|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8624/015|2021-05-12 12:41:41|г Пенза,улица Карпинского, дом 37|ПН-ПТ 09:00-18:00, СБ 09:00-14:30, ВС выходной
8624/0154|2021-08-17 12:37:08|Пензенская область,рабочий поселок Тамала,улица Советская, строение 2|ПН-ПТ 08:00-16:45, СБ-ВС выходной
8624/0174|2021-08-17 12:37:08|Пензенская область,город Каменка,улица Центральная, зд 14|ПН-ПТ 08:30-17:00, СБ 08:30-13:30, ВС выходной
8624/0180|2021-08-17 12:37:07|Пензенская область,город Каменка,улица Белинская, дом 63|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8624/0193|2021-05-12 12:41:41|Пензенская область,город Каменка,улица Коммунистическая, дом 1|ПН-ПТ 08:30-17:30, СБ 08:30-12:30, ВС выходной
8624/0194|2021-03-30 18:30:22|Пензенская область,город Белинский,площадь Комсомольская, дом 12|ПН-ПТ 08:00-17:00, СБ 08:00-12:00, ВС выходной
8624/02|2020-09-28 19:18:00|г Пенза, проспект Строителей, дом 122|ПН-ПТ 09:00-19:00, СБ 09:00-16:30, ВС 09:00-12:30
8624/024|2021-05-12 12:41:41|г Пенза, проспект Победы, дом 126|ПН-ПТ 09:00-18:00, СБ 09:00-15:00, ВС выходной
8624/0244|2021-05-12 12:41:41|Пензенская область,город Нижний Ломов,улица Ленина, влд 52|ПН-ПТ 08:00-17:00, СБ 08:00-12:00, ВС выходной
8624/025|2020-09-28 19:18:00|г Пенза,улица Гагарина, дом 9|ПН-ПТ 09:00-18:00, СБ 09:00-15:00, ВС выходной
8624/0258|2021-08-17 12:37:07|Пензенская область, с Наровчат,улица Советская, дом 29|ПН-ПТ 08:00-16:00, СБ-ВС выходной
8624/0281|2021-02-24 17:08:50|Пензенская область,город Кузнецк,улица Стекловская, дом 89|ПН-ПТ 08:30-18:00, СБ 08:30-14:30, ВС 08:30-13:00
8624/0282|2021-02-24 17:08:50|Пензенская область,город Кузнецк,улица Белинского, дом 82|ПН-ПТ 08:30-17:00, СБ 08:30-12:30, ВС выходной
8624/03|2020-12-24 14:56:44|г Пенза,улица Пушкина, дом 15|ПН-ПТ 09:00-18:00, СБ 09:00-15:00, ВС выходной
8624/030|2021-06-07 13:59:06|г Пенза, проспект Строителей, дом 40|ПН-ПТ 09:00-18:30, СБ 09:00-15:00, ВС выходной
8624/0300|2021-05-12 12:41:41|Пензенская область,город Кузнецк,улица Победы, влд 43|ПН-ПТ 08:30-17:00, СБ 08:30-13:30, ВС выходной
8624/0304|2021-05-12 12:41:41|Пензенская область,город Кузнецк,улица Молодой Гвардии, дом 125|ПН-ПТ 08:30-17:00, СБ 08:30-13:00, ВС выходной
8624/0306|2021-05-12 12:41:41|Пензенская область,город Кузнецк,улица Белинского, дом 2Е|ПН-ПТ 08:30-17:00, СБ 08:30-13:00, ВС выходной
8624/031|2021-05-12 12:41:41|г Пенза,улица Клары Цеткин, дом 63|ПН-ПТ 09:00-18:00, СБ 09:00-14:30, ВС выходной
8624/0318|2020-12-25 03:08:08|Пензенская область,рабочий поселок Сосновоборск,улица Фрунзе, дом 21А|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8624/033|2020-12-25 03:08:08|г Пенза,улица Аустрина, дом 152|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8624/034|2021-02-01 14:11:43|г Пенза,улица Антонова, дом 9|ПН-ПТ 09:00-18:00, СБ 09:00-15:00, ВС выходной
8624/0346|2021-05-12 12:41:41|Пензенская область,город Никольск,улица Чайковского, дом 1|ПН-ПТ 08:00-17:00, СБ 08:00-12:00, ВС выходной
8624/035|2021-02-24 17:08:53|Пензенская область,город Заречный,улица Комсомольская, дом 1А|ПН-ПТ 09:00-18:30, СБ 09:00-13:30, ВС выходной
8624/037|2021-02-24 17:08:53|Пензенская область,город Заречный,улица Ленина, дом 65|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8624/038|2021-02-24 17:08:53|Пензенская область,город Заречный,улица Ленина, дом 18Б|ПН-ПТ 08:30-17:30, СБ 09:00-13:00, ВС выходной
8624/0380|2021-06-21 15:42:06|Пензенская область, с Бессоновка,улица Центральная, дом 264|ПН-ПТ 08:00-15:30, СБ 08:00-12:30, ВС выходной
8624/0381|2021-03-30 18:30:20|Пензенская область,рабочий поселок Лунино,улица Кооперативная, дом 46|ПН-ПТ 08:00-16:00, СБ 08:00-13:30, ВС выходной
8624/0392|2021-05-12 12:41:41|Пензенская область,город Городище,улица Московская, дом 76|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8624/04|2021-08-17 12:37:07|г Пенза,улица Луначарского, дом 7Б|ПН-ПТ 09:00-18:00, СБ 09:00-15:00, ВС выходной
8624/040|2020-09-28 19:18:00|г Пенза,улица Терновского, дом 160Б|ПН-ПТ 09:00-18:00, СБ 09:00-15:00, ВС выходной
8624/0425|2020-09-28 19:18:00|г Пенза,улица Суворова, дом 171|ПН-ПТ 09:00-18:30, СБ 09:00-14:00, ВС выходной
8624/0500|2020-09-28 19:18:00|г Пенза,улица Суворова, дом 81|ПН-ПТ 09:00-19:00, СБ 09:00-17:00, ВС 09:00-12:30
8624/054|2021-02-24 17:08:34|Пензенская область, Пензенский район , с Засечное,улица Ново-Терновская, дом 1|ПН-ПТ 09:00-18:00, СБ 09:00-15:00, ВС выходной
8624/08|2021-05-12 12:41:41|г Пенза, проспект Победы, дом 24|ПН-ПТ 09:00-18:00, СБ 09:00-15:00, ВС выходной
8624/080|2021-05-12 12:41:40|Пензенская область,рабочий поселок Мокшан,улица Пензенская, дом 7|ПН-ПТ 08:00-16:15, СБ 08:00-12:45, ВС выходной
8624/092|2021-05-12 12:41:40|Пензенская область,рабочий поселок Земетчино,улица Ленина, дом 169|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8625/0103|2021-12-13 14:19:14|г Астрахань,улица Адмиралтейская, дом 15|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8625/0119|2021-05-12 12:41:40|г Астрахань,улица Богдана Хмельницкого, дом 24/45|ПН-ПТ 08:30-18:00, СБ 08:30-15:00, ВС выходной
8625/012|2021-05-12 12:41:40|г Астрахань,улица Свердлова, дом 98|ПН-ПТ 08:00-17:30, СБ 08:00-15:00, ВС 08:30-12:30
8625/0121|2020-09-28 19:18:02|г Астрахань,улица Яблочкова, дом 1А|ПН-ПТ 09:00-18:00, СБ 09:00-16:00, ВС выходной
8625/0126|2021-06-21 15:42:06|г Астрахань,улица Новороссийская, дом 12 строение а|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8625/0138|2020-09-28 19:18:02|г Астрахань,улица Савушкина, дом 25 корпус 1|ПН-ПТ 08:30-18:00, СБ 08:30-14:30, ВС выходной
8625/0142|2020-09-28 19:18:02|г Астрахань,улица Шаумяна, дом 30/20|ПН-ВС 09:00-21:00
8625/0145|2020-09-28 19:18:02|г Астрахань,улица Магистральная, дом 34|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8625/0151|2020-09-28 19:18:02|г Астрахань,улица Анри Барбюса, дом 17|ПН-ПТ 08:30-18:00, СБ-ВС выходной
8625/0155|2021-05-12 12:41:40|г Астрахань,площадь Заводская, дом 39|ПН-ПТ 08:30-18:00, СБ 08:00-14:00, ВС выходной
8625/0158|2020-09-28 19:18:02|г Астрахань,улица Куликова, дом 44А|ПН-ПТ 08:30-18:00, СБ 08:30-15:00, ВС выходной
8625/0162|2021-05-12 12:41:40|г Астрахань, проспект Бумажников, дом 4|ПН-ПТ 08:30-18:00, СБ 08:00-14:30, ВС выходной
8625/0164|2020-09-28 19:18:02|г Астрахань, проезд Воробьева, дом 12|ПН-ПТ 08:30-18:00, СБ 08:30-15:00, ВС выходной
8625/0166|2020-09-28 19:18:02|г Астрахань,улица Кубанская, дом 64|ПН-ПТ 08:30-18:00, СБ 08:30-16:00, ВС выходной
8625/0167|2021-06-07 13:59:06|г Астрахань,улица 1-я Котельная, дом 2 строение а|ПН-ПТ 08:30-18:30, СБ 08:30-14:30, ВС выходной
8625/0168|2020-09-28 19:18:02|г Астрахань, пер Грановский, дом 59Д|ПН-ПТ 08:30-18:00, СБ 08:30-14:00, ВС выходной
