Номер постамата|Дата ввода в эксплуатацию|Адрес постамата|Режим работы|Аренда
PS10040|2021-10-13 00:00:00|Краснодарский край, Усть-Лабинский район ,город Усть-Лабинск,улица Ленина, дом 87/27|ПН-ВС 08:00-19:00|ДА
PS10073|2021-10-13 00:00:00|Московская область,город Одинцово,город Звенигород, мкр Шихово,улица Кирова, дом 101|ПН-ВС 08:00-23:00|ДА
PS10080|2021-10-13 00:00:00|Московская область,город Химки,улица Молодежная, дом 59|ПН-ВС 08:00-23:00|ДА
PS10149|2021-10-13 00:00:00|Приморский край,город Владивосток,улица Луговая, дом 69|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS10179|2021-10-13 00:00:00|347930 Ростовская облгород Таганрогулица Седова дом 2|ПН-ВС 08:00-21:00|ДА
PS10180|2021-10-13 00:00:00|347922 Ростовская облгород Таганрогулица Петровская дом 42|ПН-ВС 08:00-21:00|ДА
PS10182|2021-10-13 00:00:00|347931 Ростовская облгород Таганрогулица Дзержинского дом 152 корпус 3а|ПН-ВС 08:00-23:00|ДА
PS10183|2021-10-13 00:00:00|347905 Ростовская облгород Таганрогулица Заводская дом 8А|ПН-ВС 08:00-21:00|ДА
PS10184|2021-10-13 00:00:00|347924 Ростовская облгород Таганрогулица Зои Космодемьянской дом 3А|ПН-ВС 08:00-23:00|ДА
PS10185|2021-10-13 00:00:00|347942 Ростовская облгород Таганрогулица Маршала Жукова дом 55|ПН-ВС 09:00-20:00|ДА
PS10186|2021-10-13 00:00:00|347942 Ростовская облгород Таганрогулица Маршала Жукова дом 84|ПН-ВС 09:00-20:00|ДА
PS10187|2021-10-13 00:00:00|347905 Ростовская облгород Таганрог Аптечный пер дом 6А|ПН-ВС 09:00-20:00|ДА
PS10198|2021-10-13 00:00:00|Кемеровская область - Кузбасс,город Киселевск,улица Ленина, дом 46|ПН-ПТ 09:00-19:00, СБ-ВС 10:00-18:00|ДА
PS10220|2021-10-13 00:00:00|Кемеровская область - Кузбасс,город Белово,улица Ленина, дом 8|ПН-ПТ 09:00-19:00, СБ-ВС 10:00-18:00|ДА
PS10223|2021-10-13 00:00:00|Кемеровская область - Кузбасс,город Ленинск-Кузнецкий, бульвар Химиков, дом 9/1|ПН-ПТ 09:00-20:00, СБ-ВС 10:00-18:00|ДА
PS10228|2021-10-13 00:00:00|Красноярский край, Абанский район , поселок Абан,улица Пионерская, дом 1, стр. 1|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ
PS10229|2021-10-13 00:00:00|Кемеровская область - Кузбасс,город Белово, пгт Инской,улица Пугачева, дом 4|ПН-ВС 06:00-23:59|НЕТ
PS10274|2021-10-13 00:00:00|Республика Башкортостан, Бураевский район , село Бураево,улица Советская, зд 27|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ
PS10276|2021-10-13 00:00:00|Кемеровская область - Кузбасс,город Анжеро-Судженск,улица С.Перовской, дом 3|ПН-ПТ 09:00-19:00, СБ-ВС 09:00-18:00|ДА
PS10277|2021-10-13 00:00:00|Кемеровская область - Кузбасс,город Березовский,улица Ленина, дом 38|ПН-ПТ 09:00-20:00, СБ-ВС 09:00-19:00|ДА
PS10305|2021-10-13 00:00:00|346789 Ростовская облгород Азовулица Ленина дом 213|ПН-ВС 07:00-22:00|ДА
PS10307|2021-10-13 00:00:00|346787 Ростовская облгород Азов Коллонтаевский пер дом 141|ПН-ВС 08:00-22:00|ДА
PS10311|2021-10-13 00:00:00|Омская область, Омский район , село Лузино,улица 30 лет Победы, дом 15|ПН выходной, ВТ-ПТ 08:30-17:30, СБ 08:45-13:45, ВС выходной|НЕТ
PS10322|2021-10-13 00:00:00|344001 Ростовская облгород Ростов-на-Донуулица Некрасовская дом 24|ПН-ВС 08:00-21:00|ДА
PS10323|2021-10-13 00:00:00|Ростовская область,город Ростов-на-Дону, проспект 40-летия Победы, зд 320А|ПН-ВС 09:00-21:00|ДА
PS10328|2021-10-13 00:00:00|344064 Ростовская облгород Ростов-на-Донуулица Шеболдаева влд 95А/2|ПН-ВС 08:00-22:00|ДА
PS10342|2021-10-13 00:00:00|Омская область, Полтавский район , село Соловьевка,улица Школьная, дом 8|ПН-ЧТ 09:45-17:15, ПТ-ВС выходной|НЕТ
PS10356|2021-10-13 00:00:00|Пермский край,город Чусовой,рабочий поселок Скальный,улица Гагарина, дом 10|ПН выходной, ВТ-ПТ 09:00-17:45, СБ 09:00-15:00, ВС выходной|НЕТ
PS10365|2021-10-13 00:00:00|Республика Башкортостан, Буздякский район , село Буздяк,улица Красная Площадь, дом 17|ПН-ПТ 09:00-16:30, СБ 09:00-12:30, ВС выходной|НЕТ
PS10379|2021-10-13 00:00:00|Хабаровский край,город Хабаровск,улица Вахова А.А., дом 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS10384|2021-10-13 00:00:00|Челябинская область, Увельский район , поселок Нагорный,улица Школьная, дом 8|ПН выходной, ВТ-ПТ 09:00-17:00, СБ 09:00-16:45, ВС выходной|НЕТ
PS9228|2021-10-13 00:00:00|Краснодарский край,город Краснодар,улица Душистая, дом 47 строение 1|ПН-ВС 08:00-23:00|ДА
PS9826|2021-10-13 00:00:00|Нижегородская область, Павловский район ,город Павлово,улица Коммунистическая, дом 1|ПН-ВС 08:00-20:00|ДА
PS9959|2021-10-13 00:00:00|Ленинградская область, Тосненский район ,город Тосно,улица Вокзальная, дом 16|ПН-ВС 10:00-20:00|ДА
PS9980|2021-10-13 00:00:00|Псковская область,город Псков,улица Яна Фабрициуса, дом 5В|ПН-ВС 09:00-19:30|ДА
PS10008|2021-10-14 00:00:00|Ленинградская область, Всеволожский район , гп Кузьмоловский,улица Железнодорожная, дом 24|ПН-ПТ 09:00-18:00, СБ 10:00-14:00, ВС выходной|НЕТ
PS10017|2021-10-14 00:00:00|Рязанская область,город Рязань, Московское шоссе, дом 31|ПН-ВС 09:00-20:00|ДА
PS10021|2021-10-14 00:00:00|Владимирская область,город Ковров, проспект Ленина, дом 43|ПН-ВС 09:00-19:00|ДА
PS10071|2021-10-14 00:00:00|Московская область,город Фрязино, проспект Мира, дом 35|ПН-ВС 08:00-23:00|ДА
PS10077|2021-10-14 00:00:00|Московская область,город Истра, деревня Высоково,улица Центральная, дом 68|ПН-ВС 08:00-23:00|ДА
PS10079|2021-10-14 00:00:00|Московская область,город Дмитров, село Орудьево,улица Центральная, дом 98А|ПН-ВС 00:00-23:59|ДА
PS10085|2021-10-14 00:00:00|Рязанская область,город Рязань, Первомайский проспект , дом 34|ПН-ВС 09:00-19:00|ДА
PS10094|2021-10-14 00:00:00|г Санкт-Петербург, Лыжный пер, дом 3|ПН-ВС 09:00-21:00|ДА
PS10101|2021-10-14 00:00:00|г Санкт-Петербург,улица Оптиков, дом 30|ПН-ВС 10:00-21:00|ДА
PS10117|2021-10-14 00:00:00|Краснодарский край, Ейский район ,город Ейск,улица Победы, дом 74|ПН-ВС 09:00-18:00|ДА
PS10118|2021-10-14 00:00:00|Краснодарский край, Павловский район , станица Павловская,улица Ленина, дом 24А|ПН-ВС 08:00-18:00|ДА
PS10125|2021-10-14 00:00:00|Алтайский край, Зональный район , село Зональное,улица Торговая, дом 7|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ
PS10275|2021-10-14 00:00:00|Кемеровская область - Кузбасс, Мариинский район ,город Мариинск,улица Ленина, дом 42|ПН-ПТ 09:00-19:00, СБ-ВС 09:00-18:00|ДА
PS10278|2021-10-14 00:00:00|Кемеровская область - Кузбасс,город Тайга,улица Строительная, дом 1/5|ПН-ПТ 09:00-18:00, СБ-ВС 10:00-17:00|ДА
PS10300|2021-10-14 00:00:00|346780 Ростовская облгород Азовулица Московская дом 21|ПН-ВС 07:00-23:00|ДА
PS10304|2021-10-14 00:00:00|346781 Ростовская облгород Азов Черноморский пер дом 62А|ПН-ВС 09:00-20:00|ДА
PS10315|2021-10-14 00:00:00|Ростовская область,город Ростов-на-Дону, проспект Королева, зд 10/4|ПН-ВС 08:00-22:00|ДА
PS10325|2021-10-14 00:00:00|344092 Ростовская облгород Ростов-на-Донуулица Добровольского дом 1/3|ПН-ВС 08:00-22:00|ДА
PS10331|2021-10-14 00:00:00|344034 Ростовская облгород Ростов-на-Дону 2-й Черепичный пер дом 10|ПН-ВС 08:00-21:00|ДА
PS10352|2021-10-14 00:00:00|Ростовская область,город Ростов-на-Дону, проспект 40-летия Победы, зд 37Ж|ПН-ВС 08:00-23:00|ДА
PS10366|2021-10-14 00:00:00|Орловская область,город Орёл,улица Октябрьская, дом 48|ПН-ВС 09:00-20:00|ДА
PS10375|2021-10-14 00:00:00|Свердловская область,город Нижний Тагил,улица Ломоносова, зд 49|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS7022|2021-10-14 00:00:00|Свердловская область, Тугулымский район , поселок Заводоуспенское,улица Победы, дом 2|ПН-СР 09:00-15:45, ЧТ-ВС выходной|НЕТ
PS9848|2021-10-14 00:00:00|Краснодарский край,город Краснодар,улица Героев-Разведчиков, дом 8|ПН-ВС 08:00-22:00|ДА
PS9871|2021-10-14 00:00:00|Калининградская область, посёлок Невское,улица Ю.Гагарина, дом 239А|ПН-ПТ 09:00-18:00, СБ-ВС 09:00-17:00|ДА
PS9874|2021-10-14 00:00:00|Калининградская область, Гурьевский район , поселок Кутузово,улица Промышленная, зд 8|ПН-ВС 10:00-19:00|ДА
PS9957|2021-10-14 00:00:00|г Санкт-Петербург, проспект Науки, дом 21 корпус 1|ПН-ВС 09:00-21:00|ДА
PS9958|2021-10-14 00:00:00|Республика Карелия,город Петрозаводск, район Голиковка,улица Маршала Мерецкова, дом 11|ПН-ВС 10:00-21:00|ДА
PS10054|2021-10-15 00:00:00|г Санкт-Петербург, Ленинский проспект , дом 128 корпус 2|ПН-ВС 10:00-21:00|ДА
PS10072|2021-10-15 00:00:00|Московская область,город Ногинск, село Стромынь,улица Заречная, дом 10|ПН-ВС 08:00-23:00|ДА
PS10074|2021-10-15 00:00:00|Московская область,город Пушкино, дп Ашукино,улица Железнодорожная, дом 22|ПН-ВС 00:00-23:59|ДА
PS10075|2021-10-15 00:00:00|Московская область,город Руза, поселок Колюбакино,улица Майора Алексеева, дом 101|ПН-ВС 09:00-22:00|ДА
PS10078|2021-10-15 00:00:00|Московская область,город Красногорск, деревня Сабурово, дом 226|ПН-ВС 08:00-23:00|ДА
PS10081|2021-10-15 00:00:00|Московская область,город Химки, кв-л Старбеево,улица Спортивная, влд 3А|ПН-ВС 08:00-23:00|ДА
PS10093|2021-10-15 00:00:00|г Санкт-Петербург, проспект Королёва, дом 7|ПН-ВС 10:00-22:00|ДА
PS10098|2021-10-15 00:00:00|г Санкт-Петербург, Комендантский проспект , дом 9 корпус 2|ПН-ВС 10:00-22:00|ДА
PS10102|2021-10-15 00:00:00|г Санкт-Петербург, проспект Испытателей, дом 33|ПН-ВС 10:00-21:00|ДА
PS10104|2021-10-15 00:00:00|г Санкт-Петербург,улица Ильюшина, дом 14|ПН-ВС 10:00-21:00|ДА
PS10106|2021-10-15 00:00:00|г Санкт-Петербург, проспект Авиаконструкторов, дом 8 корпус 1|ПН-ВС 10:00-22:00|ДА
PS10113|2021-10-15 00:00:00|Ростовская область,город Ростов-на-Дону, Буденновский проспект , дом 80|ПН-ВС 09:00-20:00|ДА
PS10124|2021-10-15 00:00:00|Алтайский край, Поспелихинский район , село Поспелиха,улица Советская, зд 44|ПН-ПТ 09:00-17:15, СБ-ВС выходной|НЕТ
PS10153|2021-10-15 00:00:00|Новосибирская область,город Новосибирск, Морской проспект , дом 18|ПН-ВС 06:00-23:59|НЕТ
PS10154|2021-10-15 00:00:00|Новосибирская область,город Новосибирск,улица Гидростроителей, дом 7|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ
PS10196|2021-10-15 00:00:00|Кемеровская область - Кузбасс,город Кемерово,улица Николая Островского, дом 3|ПН-ПТ 09:00-19:00, СБ 09:00-17:00, ВС выходной|ДА
PS10268|2021-10-15 00:00:00|Рязанская область,город Рязань, Михайловское шоссе, дом 250 корпус 2|ПН-ВС 08:00-22:00|ДА
PS10279|2021-10-15 00:00:00|Кемеровская область - Кузбасс, Яшкинский район , пгт Яшкино,улица Суворова, дом 4В|ПН-ПТ 09:00-18:00, СБ-ВС 09:00-17:00|ДА
PS10287|2021-10-15 00:00:00|Нижегородская область, Кстовский район ,город Кстово,площадь Ленина, дом 5|ПН-ВС 09:00-21:00|ДА
PS10294|2021-10-15 00:00:00|Тюменская область,город Тюмень,улица Профсоюзная, дом 52|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS10316|2021-10-15 00:00:00|Ростовская область,город Ростов-на-Дону,улица Обороны, дом 42Б|ПН-ВС 09:00-20:00|ДА
PS10324|2021-10-15 00:00:00|344045 Ростовская облгород Ростов-на-Донуулица Думенко дом 7/9|ПН-ВС 07:00-23:00|ДА
PS10368|2021-10-15 00:00:00|Белгородская область,город Старый Оскол,улица Октябрьская, дом 3|ПН-ПТ 09:00-19:00, СБ-ВС 10:00-19:00|ДА
PS10399|2021-10-15 00:00:00|Республика Башкортостан, Альшеевский район , село Аксеново,улица Железнодорожная, дом 81|ПН-ЧТ 09:00-17:00, ПТ 09:00-16:45, СБ-ВС выходной|НЕТ
PS9295|2021-10-15 00:00:00|Нижегородская область,город Нижний Новгород, Приокский район , проспект Гагарина, дом 162А|ПН-ВС 10:00-18:00|ДА
PS9296|2021-10-15 00:00:00|Нижегородская область,город Нижний Новгород, Советский район ,улица Нартова, дом 6 корпус 6|ПН-ПТ 07:30-20:00, СБ-ВС 08:00-19:00|ДА
PS9297|2021-10-15 00:00:00|Нижегородская область,город Нижний Новгород, Канавинский район , Волжская наб, дом 12|ПН-ВС 08:00-21:00|ДА
PS9300|2021-10-15 00:00:00|Нижегородская область,город Нижний Новгород, Автозаводский район ,улица Переходникова, дом 25|ПН-ВС 09:00-20:00|ДА
PS9952|2021-10-15 00:00:00|Приморский край, Михайловский район , пгт Новошахтинский,улица Советская, дом 14|ПН-ПТ 08:30-17:00, СБ-ВС выходной|НЕТ
PS10001|2021-10-16 00:00:00|г Санкт-Петербург, Лиговский проспект , дом 37|ПН-ПТ 10:00-18:30, СБ 10:00-17:00, ВС выходной|НЕТ
PS10076|2021-10-16 00:00:00|Московская область,город Сергиев Посад,город Хотьково,улица Хотьковская 1-я, дом 24Б|ПН-ВС 08:00-23:00|ДА
PS10082|2021-10-16 00:00:00|Московская область,город Талдом, деревня Павловичи, дом 5А|ПН-ВС 08:00-23:00|ДА
PS10090|2021-10-16 00:00:00|Ленинградская область, Всеволожский район ,город Кудрово, мкр Новый Оккервиль,улица Ленинградская, дом 5|ПН-ВС 10:00-21:00|ДА
PS10344|2021-10-16 00:00:00|Свердловская область,город Екатеринбург, Железнодорожный район ,улица Билимбаевская, дом 31/1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS10415|2021-10-16 00:00:00|г Москва, ул.Большая Андроньевская, дом 8|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS10091|2021-10-18 00:00:00|г Санкт-Петербург,улица Туристская, дом 26 строение 1|ПН-ВС 09:00-22:00|ДА
PS10211|2021-10-18 00:00:00|Владимирская область, Киржачский район ,город Киржач, проезд Строителей, дом 1Б|ПН-ВС 08:00-23:00|ДА
PS10214|2021-10-18 00:00:00|Ярославская область, Рыбинский район ,город Рыбинск,улица Моторостроителей, дом 17А|ПН-ВС 08:00-23:00|ДА
PS10221|2021-10-18 00:00:00|Кемеровская область - Кузбасс,город Белово, Почтовый пер, дом 47|ПН-ПТ 09:00-20:00, СБ-ВС 10:00-18:00|ДА
PS10233|2021-10-18 00:00:00|Кемеровская область - Кузбасс,город Мыски,улица Первомайская, дом 30|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ
PS10237|2021-10-18 00:00:00|Курганская область, Далматовский район , село Новопетропавловское,улица Ленина, дом 52|ПН-ВТ 09:00-16:45, СР выходной, ЧТ 09:45-17:15, ПТ 09:40-17:15, СБ-ВС выходной|НЕТ
PS10263|2021-10-18 00:00:00|Ярославская область,город Переславль-Залесский,улица Ростовская, дом 47|ПН-ВС 08:00-23:00|ДА
PS10270|2021-10-18 00:00:00|Рязанская область,город Рязань, Народный бульвар , дом 4|ПН-ВС 00:00-23:59|ДА
PS10306|2021-10-18 00:00:00|346781 Ростовская облгород Азовулица Инзенская дом 3А|ПН-ВС 09:00-20:00|ДА
PS10317|2021-10-18 00:00:00|Ростовская область,город Ростов-на-Дону,улица Советская, дом 44|ПН-ВС 09:00-20:00|ДА
PS10327|2021-10-18 00:00:00|344006 Ростовская облгород Ростов-на-Донуулица Социалистическая дом 144-146|ПН-ВС 08:00-23:00|ДА
PS10334|2021-10-18 00:00:00|Ростовская область,город Ростов-на-Дону,улица Двинская, дом 24/1|ПН-ВС 09:00-22:00|ДА
PS10335|2021-10-18 00:00:00|344023 Ростовская облгород Ростов-на-Дону проспект Ленина дом 233|ПН-ВС 08:00-21:00|ДА
PS10398|2021-10-18 00:00:00|Республика Башкортостан, Белорецкий район ,город Белорецк,улица Кирова, дом 66|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS10424|2021-10-18 00:00:00|Белгородская область, Ровеньский район , поселок Ровеньки,улица Кирова, дом 22|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS9932|2021-10-18 00:00:00|Республика Татарстан,город Казань,улица Серова, дом 28А|ПН-ВС 08:00-22:00|ДА
PS9943|2021-10-18 00:00:00|Тульская область, Киреевский район ,город Киреевск,улица Горняков, дом 17а|ПН-ВС 09:00-19:00|ДА
PS9999|2021-10-18 00:00:00|Нижегородская область, Шарангский район ,рабочий поселок Шаранга,улица Ленина, зд 29Б|ПН-ПТ 09:00-18:00, СБ-ВС 09:00-15:00|ДА
PS10047|2021-10-19 00:00:00|г Санкт-Петербург,улица Бухарестская, дом 64 корпус 4|ПН-ВС 10:00-19:00|ДА
PS10108|2021-10-19 00:00:00|г Санкт-Петербург, проспект Энгельса, дом 124 корпус 1|ПН-ВС 10:00-21:00|ДА
PS10129|2021-10-19 00:00:00|Алтайский край, Хабарский район , село Хабары,улица Ленина, дом 61|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS10173|2021-10-19 00:00:00|Приморский край,город Находка,улица Пирогова, дом 66|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS10192|2021-10-19 00:00:00|346506 Ростовская облгород Шахты пер Мичурина дом 4|ПН-ВС 09:00-20:00|ДА
PS10222|2021-10-19 00:00:00|Кемеровская область - Кузбасс, Гурьевский район ,город Гурьевск,улица Кирова, дом 44|ПН-ПТ 09:00-19:00, СБ-ВС 10:00-17:00|ДА
PS10291|2021-10-19 00:00:00|Московская область,город Химки, Юбилейный проспект , дом 60|ПН-ПТ 10:00-19:00, СБ-ВС выходной|НЕТ
PS10293|2021-10-19 00:00:00|Тюменская область,город Тюмень, ул.Александра Пушкина, дом 11|ПН выходной, ВТ-ПТ 08:30-18:30, СБ 09:00-13:00, ВС выходной|НЕТ
PS10362|2021-10-19 00:00:00|Республика Башкортостан, Туймазинский район , село Кандры,улица Ленина, дом 15, оф 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS10425|2021-10-19 00:00:00|Республика Северная Осетия - Алания,город Владикавказ,улица Московская, дом 37|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS10436|2021-10-19 00:00:00|Ставропольский край, Грачевский район , село Бешпагир,улица Молодежная, дом 1 литер а|ПН выходной, ВТ-ПТ 09:00-16:30, СБ-ВС выходной|НЕТ
PS10437|2021-10-19 00:00:00|Ставропольский край, Труновский район , село Донское,улица Солнечная, дом 15|ПН-ПТ 08:00-16:00, СБ 08:00-12:00, ВС выходной|НЕТ
PS9968|2021-10-19 00:00:00|Нижегородская область,город Дзержинск, проспект Ленина, дом 66|ПН-ВС 09:00-21:00|ДА
PS9986|2021-10-19 00:00:00|Оренбургская область,город Орск, проспект Ленина, дом 47|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS9987|2021-10-19 00:00:00|Ульяновская область,город Ульяновск, Ленинский район ,улица Гончарова, дом 40|ПН-ПТ 09:00-18:30, СБ 09:00-12:00, ВС выходной|НЕТ
PS10052|2021-10-20 00:00:00|г Санкт-Петербург, проспект Металлистов, дом 19/30|ПН-ВС 10:00-21:00|ДА
PS10096|2021-10-20 00:00:00|г Санкт-Петербург, проспект Большевиков, дом 24 корпус 1|ПН-ВС 09:00-22:00|ДА
PS10130|2021-10-20 00:00:00|Алтайский край, Смоленский район , село Смоленское,улица Красноярская, влд 123|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ
PS10321|2021-10-20 00:00:00|344000 Ростовская облгород Ростов-на-Дону проспект Чехова дом 88|ПН-ВС 08:00-23:00|ДА
PS10421|2021-10-20 00:00:00|Алтайский край, Кытмановский район , село Кытманово,улица Советская, дом 26|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ
PS9909|2021-10-20 00:00:00|г Москва, район Ясенево, Новоясеневский проспект , дом 2|ПН-ВС 09:00-21:00|ДА
PS10039|2021-10-21 00:00:00|Республика Адыгея,город Майкоп,улица Краснооктябрьская, дом 30/223|ПН-ВС 09:00-19:00|ДА
PS10056|2021-10-21 00:00:00|г Санкт-Петербург, проспект Ветеранов, дом 36 корпус 2|ПН-ВС 10:00-22:00|ДА
PS10292|2021-10-21 00:00:00|г Москва,улица Люблинская, д. 175|ПН-ПТ 09:30-20:30, СБ 09:30-18:00, ВС выходной|НЕТ
PS10312|2021-10-21 00:00:00|Кемеровская область - Кузбасс, Крапивинский район , пгт Крапивинский,улица Советская, дом 36|ПН-ПТ 08:30-17:30, СБ-ВС выходной|НЕТ
PS10400|2021-10-21 00:00:00|Челябинская область,город Челябинск,улица Чичерина, дом 28|ПН-ВС 10:00-19:00|НЕТ
PS10423|2021-10-21 00:00:00|Алтайский край, Залесовский район , село Залесово,улица Партизанская, влд 24Б|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS10426|2021-10-21 00:00:00|Республика Северная Осетия - Алания, Ирафский район , село Чикола,улица А.Фадзаева, дом 14|ПН-ПТ 08:45-17:45, СБ-ВС выходной|НЕТ
PS10555|2021-10-21 00:00:00|Пензенская область, Иссинский район ,рабочий поселок Исса,улица Черокманова, дом 23А|ПН-ПТ 08:00-17:00, СБ-ВС выходной|НЕТ
PS10006|2021-10-22 00:00:00|Республика Коми,город Воркута,улица Ленина, дом 31|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS10033|2021-10-22 00:00:00|г Москва,улица Воздвиженка, дом 9 строение 2|ПН-ПТ 09:00-19:30, СБ 09:00-18:00, ВС выходной|НЕТ
PS10089|2021-10-22 00:00:00|г Санкт-Петербург, проспект Маршала Жукова, дом 35 корпус 1|ПН-ВС 10:00-21:00|ДА
PS10095|2021-10-22 00:00:00|г Санкт-Петербург,улица Промышленная, дом 6|ПН-ВС 11:00-20:00|ДА
PS10097|2021-10-22 00:00:00|г Санкт-Петербург,улица Генерала Симоняка, дом 10|ПН-ВС 10:00-20:00|ДА
PS10169|2021-10-22 00:00:00|Забайкальский край,город Чита,улица Красной Звезды, дом 58 строение 2, пом 1|ПН-ПТ 09:00-19:00, СБ 09:00-16:30, ВС выходной|НЕТ
PS10225|2021-10-22 00:00:00|Томская область, Шегарский район , село Мельниково,улица Ленинградская, дом 2А строение 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS10227|2021-10-22 00:00:00|Томская область, Кривошеинский район , село Кривошеино,улица Октябрьская, зд 35|ПН-ПТ 09:00-17:15, СБ-ВС выходной|НЕТ
PS10290|2021-10-22 00:00:00|г Москва, Бабушкинский район ,улица Менжинского, дом 38 корпус 1 строение 2|ПН-ПТ 08:30-21:00, СБ 09:00-17:00, ВС выходной|НЕТ
PS10364|2021-10-22 00:00:00|Республика Башкортостан, Туймазинский район ,город Туймазы,улица 70 лет Октября, дом 9|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS10432|2021-10-22 00:00:00|Сахалинская область,город Южно-Сахалинск, село Синегорск,улица Коммунистическая, дом 16|ПН выходной, ВТ-СР 09:00-16:45, ЧТ выходной, ПТ 09:00-16:45, СБ 09:00-14:45, ВС выходной|НЕТ
PS10463|2021-10-22 00:00:00|Кировская область,город Киров,улица Щорса, дом 95|ПН-ВС 10:00-20:00|ДА
PS10479|2021-10-22 00:00:00|Воронежская область, Острогожский район ,город Острогожск,улица Ленина, дом 31М|ПН-ВС 09:00-19:00|ДА
PS9825|2021-10-23 00:00:00|Нижегородская область,город Дзержинск,улица Пушкинская, дом 10|ПН-ВС 08:00-20:00|ДА
PS9965|2021-10-23 00:00:00|Нижегородская область,город Дзержинск,улица Гайдара, дом 61|ПН-ВС 10:00-21:00|ДА
PS10420|2021-10-24 00:00:00|Саратовская область,город Саратов, Заводской район ,улицаимени Орджоникидзе Г.К., дом 13|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS10048|2021-10-25 00:00:00|г Санкт-Петербург,улица Бухарестская, дом 118|ПН-ВС 10:00-22:00|ДА
PS10051|2021-10-25 00:00:00|г Санкт-Петербург,улица Партизана Германа, дом 14 корпус 4|ПН-ВС 10:00-21:00|ДА
PS10055|2021-10-25 00:00:00|г Санкт-Петербург,улица Будапештская, дом 53|ПН-ВС 09:00-22:00|ДА
PS10343|2021-10-25 00:00:00|Свердловская область,город Екатеринбург,улица Сакко и Ванцетти, дом 61|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS10346|2021-10-25 00:00:00|Челябинская область,город Челябинск,улица Академика Королева, дом 23|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS10382|2021-10-25 00:00:00|Приморский край,город Уссурийск, улица Горького, дом 47|ПН-ПТ 09:00-18:00, СБ 09:30-14:00, ВС выходной|НЕТ
PS10383|2021-10-25 00:00:00|Воронежская область, Лискинский район ,город Лиски,улица Коммунистическая, дом 14А|ПН-ВС 08:00-18:00|ДА
PS10385|2021-10-25 00:00:00|Липецкая область,город Липецк,улица Студеновская, дом 184|ПН-ВС 09:00-20:00|ДА
PS10386|2021-10-25 00:00:00|Орловская область,город Орёл,улица Металлургов, дом 20|ПН-ВС 09:00-20:00|ДА
PS10394|2021-10-25 00:00:00|Белгородская область, Валуйский район , пгт Уразово,улица Красная площадь, дом 4А|ПН-ПТ 08:30-17:30, СБ-ВС выходной|НЕТ
PS10408|2021-10-25 00:00:00|Курганская область,город Курган,улица Коли Мяготина, дом 83|ПН-ВС 09:00-20:00|ДА
PS10409|2021-10-25 00:00:00|Курганская область,город Курган, мкр 3-й, дом 30 строение 1|ПН-ВС 10:00-20:00|ДА
PS10435|2021-10-25 00:00:00|Воронежская область, Семилукский район ,город Семилуки,улица Дзержинского, дом 13|ПН-ВС 09:00-19:00|ДА
PS10458|2021-10-25 00:00:00|Чувашская республика - Чувашия,город Канаш,улица Железнодорожная, дом 73|ПН-ВС 08:00-19:00|ДА
