Номер постамата|Дата ввода в эксплуатацию|Адрес постамата|Режим работы|Аренда
PS312|2020-07-24 00:00:00|г Москва, район Южное Тушино,улица Сходненская, дом 9|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS316|2020-07-24 00:00:00|г Москва, поселение Сосенское, Новомосковский округ, поселок Коммунарка,улица Александры Монаховой, дом 5 корпус 2|ПН-ПТ 08:30-20:00, СБ 09:00-16:00, ВС выходной|НЕТ
PS338|2020-07-24 00:00:00|г Москва,улица Енисейская, дом 29|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS340|2020-07-24 00:00:00|г Москва,улица Кантемировская, дом 3 корпус 5 строение 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS198|2020-07-25 00:00:00|г Москва, Мичуринский проспект , дом 26|ПН-ПТ 08:30-19:30, СБ 09:00-17:00, ВС выходной|НЕТ
PS206|2020-07-25 00:00:00|г Москва,улица Дмитриевского, дом 21|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS267|2020-07-25 00:00:00|г Москва, район Текстильщики, Волгоградский проспект , дом 63|ПН-ПТ 09:00-20:00, СБ 09:30-17:00, ВС выходной|НЕТ
PS274|2020-07-25 00:00:00|г Москва, Ломоносовский район , Ленинский проспект , дом 89/2|ПН-ПТ 09:00-19:30, СБ 10:00-17:00, ВС выходной|НЕТ
PS281|2020-07-25 00:00:00|г Москва, Можайский район , Можайское шоссе, дом 41 корпус 1|ПН-ПТ 08:30-19:30, СБ 09:00-16:30, ВС выходной|НЕТ
PS284|2020-07-25 00:00:00|г Москва,улица Миклухо-Маклая, дом 55|ПН-ПТ 08:30-19:30, СБ 09:00-16:00, ВС выходной|НЕТ
PS291|2020-07-25 00:00:00|г Москва,улица Пронская, дом 2|ПН-ПТ 09:00-20:00, СБ 09:00-15:00, ВС выходной|НЕТ
PS305|2020-07-25 00:00:00|г Москва, Волжский бульвар , дом 7|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
