ID точки|Адрес|Тип Пункта|Название пункта приема/выдачи|Время работы|Широта|Долгота
4395-012|город Кирово-Чепецк,Кировская обл., Кирова пр-кт, д. 30|Постамат|Постамат: Халва: 4395-012: Магнит Косметик|Ежедневно: 9-21|58.555854|50.04086
6601-004|город Екатеринбург,Свердловская обл., Сибирский тракт, д 2|Постамат|Постамат: PickPoint: 6601-004: ТРК Комсомолл|Ежедневно: 10-22|56.829419|60.671208
7701-033|город Москва,Московская обл., Озерная ул., д. 42|Постамат|Постамат: PickPoint: 7701-033: ТЦ Мичуринский|Ежедневно: 9-22|55.67154|37.445552
1601-005|город Казань,Татарстан респ., Николая Ершова ул., д. 1 А|Постамат|Постамат: PickPoint: 1601-005: ГТРК Корстон|Круглосуточно|55.793874|49.149566
6601-005|город Екатеринбург,Свердловская обл., ул 40-летия Октября, стр 75|Постамат|Постамат: PickPoint: 6601-005:ТЦ Калинка|Ежедневно: 9-21|56.904044|60.598374
5001-004|город Зеленоград,Московская обл., к 1627|Постамат|Постамат: PickPoint: 5001-004: Универсам|Ежедневно: 8-23|55.970851|37.152345
0201-004|город Уфа,Башкортостан респ., Комсомольская ул., д. 112|Постамат|Постамат: PickPoint: 0201-004: ТЦ Июнь|Ежедневно: 10-22|54.752422|56.007624
7201-011|город Тюмень,Тюменская обл., Алебашевская ул., д. 19|Постамат|Постамат: PickPoint: 7201-011: ТЦ Зеленый берег|Ежедневно: 10-22|57.170336|65.567431
4001-001|город Калуга,Калужская обл., Кирова ул., д. 39|Постамат|Постамат: PickPoint: 4001-001: ТОЦ Европейский|Ежедневно: 10-20|54.513624|36.266316
7802-338|город Санкт-Петербург,Ленинградская обл., Федора Абрамова ул., д. 8, к. 3|ПВЗ|ПВЗ: PickPoint: 7802-338|Ежедневно: 10-21|60.075791|30.339396
4705-150|город Янино-1,Ленинградская обл., Шоссейная ул., д. 57|Постамат|Постамат: Халва: Пекарня Бублик|Ежедневно: 8-22|59.946982|30.564162
5015-173|город Домодедово,Московская обл., Каширское шоссе, д. 63|Постамат|Постамат: Халва: 5015-173: Совкомбанк|Пн-Пт: 10-19; Сб: 10-17; Вс: Выходной|55.432431|37.768044
5015-174|город Московский,Московская обл., 3-й мкр., д. 1Б|Постамат|Постамат: Халва: 5015-174: Дикси|Круглосуточно|55.596429|37.344161
9905-295|город Москва,Московская обл., Подольских Курсантов ул., д. 26, стр. 1|Постамат|Постамат: Халва: ТЦ Selgros|Ежедневно: 7-23|55.592464|37.632089
9905-296|город Москва,Московская обл., Большая Очаковская ул., д. 10, к. 1|Постамат|Постамат: Халва: 9905-296: Ozon|Ежедневно: 10-21|55.688639|37.463008
2405-169|город Красноярск,Красноярский край, Говорова ул., д. 42|Постамат|Постамат: Халва: 2405-169: Магазин Залихватский расколбас|Пн-Сб: 8-20; Вс: 8-18|55.999299|93.025656
3405-094|город Волгоград,Волгоградская обл., Историческая ул., д. 175|Постамат|Постамат: Халва: 3405-094: Ашан|Ежедневно: 7-23:59|48.75658|44.477952
2405-170|город Красноярск,Красноярский край, Тельмана ул., д. 19|Постамат|Постамат: Халва: 2405-170: Магазин Залихватский расколбас|Пн-Сб: 8-20; Вс: 8-18|56.052909|92.975129
2405-171|город Красноярск,Красноярский край, Молокова ул., д. 28|Постамат|Постамат: Халва: 2405-171: Ozon|Ежедневно: 10-21|56.044997|92.909704
5905-176|город Пермь,Пермский край, Яблочкова ул., д. 17/2|Постамат|Постамат: Халва: 5905-176: Wildberries|Ежедневно: 10-21|57.970835|56.225949
7801-017|город Санкт-Петербург,Ленинградская обл., ул Марата, д 53 литера А|Постамат|Постамат: PickPoint: 7801-017: ТРК Ямской|Пн-Сб: 10-20; Вс: 10-19|59.922971|30.349645
6611-001|город Верхняя Пышма,Свердловская обл., Успенский пр-кт, д. 127|Постамат|Постамат: PickPoint: 6611-001: ТЦ Город VIP|Ежедневно: 10-21|56.981396|60.54592
3601-001|город Воронеж,Воронежская обл., Средне-Московская ул., д. 32Б|Постамат|Постамат: PickPoint: 3601-001: ТЦ Мир|Ежедневно: 10-21|51.669277|39.196335
6695-011|город Верхняя Салда,Свердловская обл., Энгельса ул., д. 87, к. 1|Постамат|Постамат: Халва: 6695-011: Фикс-Прайс|Ежедневно: 9-21|58.048318|60.579595
4305-044|город Киров,Кировская обл., Московская ул., д. 135|Постамат|Постамат: Халва: 4305-044: ТЦ Малахит|Ежедневно: 10-20|58.603281|49.621247
1205-044|город Йошкар-Ола,Марий Эл респ., Прохорова ул., д. 14Б|Постамат|Постамат: Халва: 1205-044: Магнит Косметик|Ежедневно: 9-20:30|56.636304|47.842868
5005-632|город Краснозаводск,Московская обл., 50 лет Октября ул., д. 9|Постамат|Постамат: Халва: 5005-632: Магнит Косметик|Ежедневно: 9:30-21|56.433969|38.248531
7415-043|город Магнитогорск,Челябинская обл., Карла Маркса пр-кт, д. 164|Постамат|Постамат: Халва: 7415-043: Магнит Косметик|Ежедневно: 9:30-21|53.384813|58.976996
7705-733|город Москва,Московская обл., Нижегородская ул., д. 72/2|Постамат|Постамат: Халва: 7705-733: Фикс-Прайс|Ежедневно: 9-21|55.733045|37.710946
4205-057|город Кемерово,Кемеровская обл., Халтурина ул., д. 35А|Постамат|Постамат: Халва: 4205-057: БегеМаг|Ежедневно: 8-23|55.409977|86.054211
6195-014|город Новошахтинск,Ростовская обл., Харьковская ул., д.78Ж|Постамат|Постамат: Халва: 6195-014: Фикс-Прайс|Ежедневно: 9-21|47.785534|39.913082
7701-186|город Москва,Московская обл., Сходненская ул., д. 25|Постамат|Постамат: PickPoint: 7701-186: ТЦ Сходненская 25|Ежедневно: 10-21|55.845501|37.438754
5005-633|город Сергиев Посад,Московская обл., Хотьковский проезд, д. 13Б|Постамат|Постамат: Халва: 5005-633: ТД Славига|Ежедневно: 10-21|56.29498|38.12027
7701-189|город Москва,Московская обл., Череповецкая ул., д. 4А|Постамат|Постамат: PickPoint: 7701-189: Пятерочка|Пн-Пт: 10-19:30; Сб: 10-19; Вс: 10-18|55.897988|37.565793
5002-039|город Долгопрудный,Московская обл., Пацаева пр-кт, д. 15А|ПВЗ|ПВЗ: PickPoint: 5002-039: Магазин Вектор|Ежедневно: 10-20|55.948397|37.494772
6301-003|город Самара,Самарская обл., Гагарина ул., д. 99|Постамат|Постамат: PickPoint: 6301-003: ТЦ Самара-М|Ежедневно: 8-23|53.200086|50.199089
3601-002|город Воронеж,Воронежская обл., Московский пр-кт, д. 129/1|Постамат|Постамат: PickPoint: 3601-002: ТРЦ Московский проспект|Ежедневно: 10-22|51.717747|39.177533
7702-263|город Москва,Московская обл., Измайловский б-р, д. 43|ПВЗ|ПВЗ: PickPoint: 7702-263|Пн-Пт: 10-20; Сб-Вс: 11-18|55.79725|37.798107
6605-251|город Екатеринбург,Свердловская обл., Светлый мкр., д. 6|Постамат|Постамат: Халва: 6605-251: Зоомагазин|Ежедневно: 10-22|56.780398|60.700538
5905-177|город Пермь,Пермский край, Спешилова ул., д. 114|Постамат|Постамат: Халва: 5905-177: ТРЦ СпешиLove|Ежедневно: 10-22|58.03957|56.190906
7805-511|город Санкт-Петербург,Ленинградская обл., Плесецкая ул., д. 10|Постамат|Постамат: Халва: 7805-511: Винлаб|Ежедневно: 10-22|60.034668|30.218346
5002-967|город Балашиха,Московская обл., Кольцевая ул., д. 5|ПВЗ|ПВЗ: Ozon: 5002-967|Ежедневно: 9-21|55.823237|37.879332
7701-038|город Москва,Московская обл., 1-я Квесисская ул., д. 18|Постамат|Постамат: PickPoint: 7701-038: ТК Бутырский|Ежедневно: 9-21|55.794139|37.578817
6301-004|город Самара,Самарская обл., Демократическая ул., д. 7|Постамат|Постамат: PickPoint: 6301-004: Пятерочка|Пн-Сб: 9-19:30; Вс: 9-18:30|53.262209|50.217683
6605-037|город Екатеринбург,Свердловская обл., Космонавтов пр-кт, д. 54|Постамат|Постамат: PickPoint: 6605-037: ТЦ Космос|Пн-Сб: 10-20; Вс: 10-19|56.89202|60.614722
4215-030|город Новокузнецк,Кемеровская обл., Сибиряков-Гвардейцев ул., д. 2|Постамат|Постамат: PickPoint: 4215-030: ТОЦ Cascade Building|Ежедневно: 9-20|53.751232|87.103627
2715-005|город Комсомольск-на-Амуре,Хабаровский край, Комсомольская ул., д. 73|Постамат|Постамат: PickPoint: 2715-005|Ежедневно: 9-22|50.535343|136.996288
2901-001|город Архангельск,Архангельская обл., Ленинградский пр-кт, д. 255|Постамат|Постамат: PickPoint: 2901-001: ТЦ Петромост|Ежедневно: 10-21|64.510031|40.663696
5691-001|город Бузулук,Оренбургская обл., Комсомольская ул., д. 81|Постамат|Постамат: PickPoint: 5691-001: ТРЦ Север|Ежедневно: 10-22|52.788492|52.263705
2111-001|город Новочебоксарск,Чувашия респ., Винокурова ул., д. 70А|Постамат|Постамат: PickPoint: 2111-001: Универсам|Ежедневно: 9-20|56.115574|47.451678
7415-044|город Магнитогорск,Челябинская обл., 50-летия Магнитки ул., д. 38А|Постамат|Постамат: Халва: 7415-044: Магнит Косметик|Ежедневно: 10-20:30|53.359657|58.972997
1001-001|город Петрозаводск,Карелия респ., Правды ул., д. 38Б|Постамат|Постамат: PickPoint: 1001-001: ТЦ Лотос Центр|Ежедневно: 9-20|61.776414|34.390102
5001-006|город Реутов,Московская обл., Октября ул., вл. 10|Постамат|Постамат: PickPoint: 5001-006: ТРЦ Экватор|Ежедневно: 10-22|55.751809|37.859055
5002-968|город Реутов,Московская обл., Комсомольская ул., д. 21, к. 1|ПВЗ|ПВЗ: Яндекс Маркет: 5002-968|Ежедневно: 9-21|55.756202|37.850178
7702-731|город Москва,Московская обл., Бауманская ул., д. 43/1, стр. 1, офис 17|ПВЗ|ПВЗ: PickPoint: 7702-731|Пн-Пт: 10-20; Сб-Вс: 12-19|55.770107|37.679637
